rank,name,symbol,current_price_usd,market_cap_usd,total_volume_usd,high_24h_usd,low_24h_usd,price_change_24h,circulating_supply,ath_usd,fetched_at
1,Bitcoin,BTC,77905,1559666654209,49215185476,79389,77205,0.91,20019503.0,126080,23-04-2026 08:17:45
2,Ethereum,ETH,2351.45,283794017554,22471356264,2420.19,2347.85,-0.37,120689322.8558153,4946.05,23-04-2026 08:17:45
3,Tether,USDT,1.0,188849301584,80487009449,1.0,0.999951,0.01,188805943234.3006,1.32,23-04-2026 08:17:45
4,XRP,XRP,1.42,87287552508,2507563173,1.46,1.42,-2.03,61569680267.0,3.65,23-04-2026 08:17:45
5,BNB,BNB,634.81,85555584480,1313693565,652.07,635.09,-0.65,134786469.09,1369.99,23-04-2026 08:17:45
6,USDC,USDC,0.999761,78332955252,18089813242,0.999942,0.999349,-0.0,78350440406.90208,1.043,23-04-2026 08:17:45
7,Solana,SOL,85.9,49421263668,4335384050,89.24,85.84,-1.79,575613045.81473,293.31,23-04-2026 08:17:45
8,TRON,TRX,0.329149,31196474738,636521867,0.335131,0.328175,-1.09,94779401387.9225,0.431288,23-04-2026 08:17:45
9,Figure Heloc,FIGR_HELOC,1.036,17606412621,103548855,1.036,1.021,0.18,16993907992.767,1.049,23-04-2026 08:17:45
10,Dogecoin,DOGE,0.095895,14762337852,1672061561,0.098336,0.09562,-0.41,153942846383.7052,0.731578,23-04-2026 08:17:45
11,WhiteBIT Coin,WBT,55.32,11801027228,107415675,56.72,55.27,0.08,213418274.0,64.11,23-04-2026 08:17:45
12,USDS,USDS,0.999686,10847724848,10276296,1.001,0.999426,-0.01,10851200608.22491,1.15,23-04-2026 08:17:45
13,Hyperliquid,HYPE,40.87,9741843365,333784466,41.68,40.02,1.29,238385315.9541414,59.3,23-04-2026 08:17:45
14,LEO Token,LEO,10.28,9464537919,630990,10.39,10.13,-0.93,920782987.9,10.39,23-04-2026 08:17:45
15,Bitcoin Cash,BCH,456.32,9137767961,263110138,473.41,451.22,0.83,20024787.39665078,3785.82,23-04-2026 08:17:45
16,Cardano,ADA,0.246301,9103643576,425888402,0.257076,0.246275,-3.0,36961467409.57048,3.09,23-04-2026 08:17:45
17,Chainlink,LINK,9.19,6679947085,309982537,9.54,9.18,-3.31,727099970.4523476,52.7,23-04-2026 08:17:45
18,Monero,XMR,362.04,6678381120,168445904,389.34,361.53,-6.55,18446744.07370955,797.73,23-04-2026 08:17:45
19,MemeCore,M,4.58,5913076144,20989993,4.64,4.18,4.29,1293290532.648466,4.65,23-04-2026 08:17:45
20,Stellar,XLM,0.176214,5863904106,117669197,0.182229,0.176138,-2.04,33277829327.88986,0.875563,23-04-2026 08:17:45
21,Canton,CC,0.152109,5845296899,9887265,0.154776,0.150774,0.26,38368700616.38747,0.194152,23-04-2026 08:17:45
22,Zcash,ZEC,314.51,5242466399,274318994,330.4,313.7,-0.89,16668787.6655448,3191.93,23-04-2026 08:17:45
23,Dai,DAI,0.999616,4416138740,307166287,0.999873,0.999493,-0.01,4417767481.885632,1.22,23-04-2026 08:17:45
24,USD1,USD1,1.0,4273788102,1756164512,1.001,0.999378,0.02,4273161291.84195,1.025,23-04-2026 08:17:45
25,Ethena USDe,USDE,0.999312,4273146144,434146343,0.999502,0.998965,0.01,4276240173.995295,1.034,23-04-2026 08:17:45
